什么是面向对象设计中的SOLID原则？,SOLID是五个设计原则的缩写：单一职责原则(SRP)、开闭原则(OCP)、里氏替换原则(LSP)、接口隔离原则(ISP)和依赖倒置原则(DIP)。
请解释依赖倒置原则(DIP)的核心思想。,高层模块不应依赖于底层模块，两者都应依赖于抽象；抽象不应依赖于细节，细节应依赖于抽象。通常通过依赖注入实现。
C#中interface和abstract class的主要区别是什么？,接口只能定义行为契约，不包含实现（C# 8.0前）和状态；抽象类可以包含实现和状态。类只能继承一个抽象类，但可实现多个接口。
什么是装箱(Boxing)和拆箱(Unboxing)？,装箱是将值类型转换为引用类型（对象）的过程；拆箱是将引用类型显式转换为值类型的过程。它们会产生性能开销。
请解释C#中的垃圾回收(GC)代龄机制(Generations)。,GC将堆内存分为0代、1代和2代。新对象在0代，幸存的对象晋升到下一代。GC频繁回收0代，较少回收2代，以优化性能。
什么是内存泄漏？在托管代码中如何发生？,内存泄漏指不再使用的对象因被根对象引用而无法被GC回收。常见原因包括未注销的事件订阅、静态集合无限增长、未释放的非托管资源。
using语句块(using statement)的作用及底层实现是什么？,using确保对象在使用完后调用Dispose方法释放资源。底层对应try-finally块，在finally中调用Dispose。
C#中Task和Thread有什么区别？,Thread是操作系统线程的封装，开销大；Task是基于线程池的高级抽象，支持任务组合、取消和返回值，更适合异步编程。
async/await的工作原理是什么？,它们是基于状态机的语法糖。编译器将异步方法转换为状态机，遇到await时暂停方法执行并释放线程，待任务完成后恢复执行。
什么是死锁(Deadlock)？如何避免？,死锁指两个或多个线程互相等待对方释放资源而无限阻塞。避免方法包括：按固定顺序获取锁、使用超时机制、避免嵌套锁。
请解释单例模式(Singleton)及其应用场景。,单例模式确保一个类只有一个实例并提供全局访问点。适用于配置管理器、日志记录器、数据库连接池等。
什么是工厂模式(Factory Pattern)？,工厂模式定义创建对象的接口，让子类决定实例化哪一个类。它将对象的创建与使用分离，降低耦合。
观察者模式(Observer Pattern)在.NET中是如何体现的？,C#中的事件(Event)和委托(Delegate)机制就是观察者模式的典型实现，允许对象在状态改变时通知订阅者。
什么是依赖注入(Dependency Injection)？,DI是一种实现控制反转(IoC)的技术，将依赖对象的创建和绑定移交外部容器管理，而不是在类内部直接创建。
MVC、MVP和MVVM架构模式的区别？,MVC通过Controller协调Model和View；MVP中Presenter完全接管View和Model的交互；MVVM通过DataBinding实现View和ViewModel的双向绑定，适合WPF/前端开发。
HTTP协议中GET和POST的区别？,GET用于获取资源，参数在URL中，安全性低，有长度限制；POST用于提交数据，数据在请求体中，更安全，无大小限制。
什么是RESTful API？,一种基于HTTP协议的网络应用程序设计风格，使用标准HTTP动词(GET, POST, PUT, DELETE)操作资源，通常返回JSON或XML。
解释TCP的三次握手。,建立连接时：1.客户端发SYN包；2.服务端回SYN+ACK包；3.客户端发ACK包。确保双方收发能力正常。
什么是WebSocket？与HTTP有什么不同？,WebSocket是全双工通信协议，建立连接后客户端和服务端可随时互发数据。HTTP是基于请求-响应的半双工协议。
数据库事务的ACID特性是指什么？,原子性(Atomicity)、一致性(Consistency)、隔离性(Isolation)、持久性(Durability)。
SQL中索引(Index)的作用和副作用？,作用：加快数据检索速度；副作用：占用磁盘空间，降低插入、更新和删除操作的性能（因为要维护索引）。
什么是ORM？列举常用的.NET ORM框架。,对象关系映射，将数据库表映射为对象。常用框架：Entity Framework (Core), Dapper, NHibernate。
Entity Framework中Lazy Loading和Eager Loading的区别？,Lazy Loading在访问导航属性时才查询数据库（可能导致N+1问题）；Eager Loading使用Include在主查询时一并加载关联数据。
什么是SQL注入攻击？如何防止？,攻击者在输入中通过拼接SQL指令操纵数据库。防止方法：使用参数化查询或存储过程，避免字符串拼接SQL。
Git中git merge和git rebase的区别？,merge保留分支历史，会产生合并提交；rebase将提交移动到目标分支顶端，历史呈线性，但修改了提交历史。
Git Flow工作流包含哪些常驻分支？,master(主分支，发布用) 和 develop(开发分支)。
什么是CI/CD？,持续集成(CI)指频繁合并代码并自动测试；持续部署/交付(CD)指自动化将代码部署到生产或准生产环境。
单元测试(Unit Test)与集成测试(Integration Test)的区别？,单元测试针对最小可测单元（方法/类），使用Mock隔离依赖；集成测试验证多个组件协同工作的正确性。
什么是反射(Reflection)？有哪些应用场景？,反射是在运行时动态获取类型信息（元数据）并操作对象的能力。用于ORM、依赖注入容器、插件系统、序列化库。
.NET Core/.NET 5+与.NET Framework的主要区别？,.NET Core是跨平台、开源、模块化的，性能更好；.NET Framework主要限于Windows，系统庞大耦合度高。
什么是中间件(Middleware)？在ASP.NET Core中的作用？,中间件是处理HTTP请求和响应的组件管道。用于处理日志、异常、身份验证、路由等。
值类型的Equals方法默认实现是什么？,默认通过反射比较所有字段的值是否相等，性能较低，建议重写Equals。
什么是哈希冲突(Hash Collision)？Dictionary如何处理？,不同键计算出相同的哈希值。Dictionary通常使用链地址法（拉链法）解决冲突。
C#中委托(Delegate)和事件(Event)的区别？,委托是类型安全的函数指针；事件是委托的封装，只允许在定义类内部触发(Invoke)，外部只能订阅(+=)或取消(-=)。
什么是扩展方法(Extension Method)？,允许向现有类型“添加”方法而无需修改其源码。定义在静态类中的静态方法，第一个参数用this修饰。
IEnumerable<T>和IQueryable<T>的区别？,IEnumerable在内存中过滤数据（客户端求值）；IQueryable将查询表达式转换为SQL在数据库端执行（服务端求值）。
什么是匿名类型(Anonymous Type)？,编译器在编译时自动生成的类，通常用于LINQ查询结果的临时存储，具有只读属性。
什么是闭包(Closure)？,闭包是指有权访问另一个函数作用域中变量的函数，通常出现在Lambda表达式捕获外部变量时。
C#中的volatile关键字有什么用？,指示字段可能被多个线程同时修改，禁止编译器或CPU对该字段的读写进行指令重排序优化。
lock关键字底层是如何实现的？,lock是Monitor.Enter和Monitor.Exit的语法糖，通过对象头部的同步块索引实现互斥锁。
什么是乐观锁和悲观锁？,悲观锁假设冲突频繁，操作前先锁定资源；乐观锁假设冲突很少，操作时不加锁，提交时检查版本号或时间戳。
Redis是什么？常用于什么场景？,高性能的Key-Value内存数据库。常用于缓存、会话存储、消息队列、排行榜。
什么是消息队列(Message Queue)？常用中间件有哪些？,用于异步通信和解耦系统的组件。常用：RabbitMQ, Kafka, ActiveMQ, Azure Service Bus。
Docker容器与虚拟机有什么区别？,容器共享宿主机内核，轻量、启动快；虚拟机有完整操作系统，隔离性更强但开销大。
Kubernetes (K8s) 的核心功能是什么？,容器编排，负责容器的自动化部署、扩展、负载均衡和健康检查。
HTTPS是如何保证安全的？,通过SSL/TLS协议对传输数据进行加密，并使用数字证书验证服务器身份。
什么是OAuth 2.0？,一种授权标准，允许第三方应用在用户授权下访问其资源，而无需获取用户凭据（如密码）。
JWT (JSON Web Token) 的结构是怎样的？,Header(头部).Payload(负载).Signature(签名)。
什么是跨域资源共享(CORS)？,浏览器限制脚本发起跨域HTTP请求的机制。服务端需设置响应头(Access-Control-Allow-Origin)允许跨域。
C#中Struct适合在什么场景使用？,数据量小、不可变、不需要继承、频繁创建销毁的场景（如坐标点、复数）。
String和StringBuilder在内存上的主要区别？,String是不可变的，每次修改产生新对象；StringBuilder维护一个可变字符缓冲区，修改时不产生新对象。
什么是虚方法(virtual)和抽象方法(abstract)？,virtual方法有默认实现，子类可重写；abstract方法无实现，子类必须重写（除非子类也是抽象类）。
C#中explicit和implicit关键字的作用？,用于定义用户自定义的类型转换操作符。explicit需显式转换，implicit可隐式转换。
什么是防御性编程？,一种编程习惯，预见可能的问题并处理（如参数校验、空值检查），保证代码在意外输入下仍能稳定运行。
什么是代码重构(Refactoring)？,在不改变代码外在行为的前提下，改善其内部结构，提高可读性和可维护性。
软件开发中的DRY原则是什么？,Don't Repeat Yourself（不要重复自己）。避免代码重复，将通用逻辑抽取为方法或类。
什么是KISS原则？,Keep It Simple, Stupid。保持代码简单，避免不必要的过度设计。
什么是微服务架构？优缺点是什么？,将应用拆分为一组小型、独立部署的服务。优点：灵活扩展、技术异构；缺点：运维复杂、分布式事务处理难。
CAP定理是指什么？,分布式系统中，一致性(Consistency)、可用性(Availability)、分区容错性(Partition tolerance)无法同时满足，只能三选二。
什么是反向代理？,位于服务器端的代理服务器（如Nginx），接收客户端请求并转发给后端服务器，隐藏真实服务器信息，常用于负载均衡。
什么是负载均衡(Load Balancing)？,将网络流量分发到多个服务器上，以提高应用的处理能力和可靠性。
什么是CDN (内容分发网络)？,通过在多地部署边缘服务器缓存静态资源，使用户能就近获取内容，加速访问。
数据库中的视图(View)是什么？,一种虚拟表，基于SQL查询结果集，不存储数据（物化视图除外），用于简化复杂查询和控制权限。
存储过程(Stored Procedure)的优缺点？,优点：预编译性能好、减少网络流量、封装逻辑；缺点：业务逻辑分散、版本控制难、移植性差。
SQL中的左连接(LEFT JOIN)和内连接(INNER JOIN)区别？,Inner Join只返回两个表中匹配的行；Left Join返回左表所有行，右表无匹配时显示NULL。
什么是NoSQL？适用场景？,非关系型数据库。适用于非结构化数据、高并发读写、海量数据存储（如MongoDB, Cassandra）。
C#中yield return的作用？,用于生成迭代器，按需逐个返回元素，不需要一次性将所有结果加载到内存中。
params关键字的作用？,允许方法接收可变数量的参数，参数在方法内部作为数组处理。
C#中Attribute(特性)是什么？,一种向代码元素添加元数据的方式，程序运行时可通过反射读取元数据控制行为（如序列化控制、验证）。
什么是AOP (面向切面编程)？,将横切关注点（日志、事务、权限）从业务逻辑中分离的技术。
什么是各种“泄露”(Handle Leak, Connection Leak)？,指句柄、数据库连接等非托管资源使用后未正确关闭或释放，导致资源耗尽。
.NET中IDisposable接口的作用？,定义Dispose方法，供开发者手动释放非托管资源（如文件句柄、窗口句柄）。
C#中的析构函数(Finalizer)什么时候被调用？,在GC回收对象前被调用，用于作为释放非托管资源的最后一道防线。
什么是深拷贝和浅拷贝？,浅拷贝只复制对象引用（引用类型）或值（值类型）；深拷贝递归复制对象及其引用的所有对象。
HTTP状态码200, 401, 403, 404, 500分别代表什么？,200成功，401未认证，403禁止访问，404未找到，500服务器内部错误。
什么是Session和Cookie？,Cookie存储在客户端，用于标识用户；Session存储在服务端，保存用户状态信息，通常通过Cookie传递SessionID。
什么是SQL的执行计划？,数据库查询优化器生成的执行SQL语句的具体步骤，分析它可用于优化慢查询。
什么是敏捷开发(Agile)？,一种以人为核心、迭代、循序渐进的开发方法论，强调适应变化和快速交付价值。
Scrum框架中的三个角色是什么？,Product Owner (产品负责人), Scrum Master, Development Team (开发团队)。
什么是技术债务(Technical Debt)？,为了短期速度而牺牲代码质量所累积的代价，未来需要花费额外精力去修复或重构。
什么是Code Review(代码审查)的目的？,发现Bug、保证代码风格统一、知识共享、提高代码质量。
C#中密封类(sealed class)的作用？,禁止类被继承。用于基础库类或出于安全/性能考虑。
Interface和delegate在设计上的本质区别？,Interface定义一组相关行为；Delegate定义单个方法的签名，侧重于回调和事件处理。
什么是死信队列(Dead Letter Queue)？,无法被正常消费的消息（如处理失败、过期）被发送到的特殊队列，用于排查问题。
什么是幂等性(Idempotency)？,无论操作执行多少次，结果都是一致的。如HTTP GET、PUT、DELETE应设计为幂等。
什么是蓝绿部署？,同时运行两个版本的环境（蓝和绿），通过切换路由流量实现无停机发布和快速回滚。
什么是灰度发布(金丝雀发布)？,将新版本只推送给少部分用户，观察没问题后再逐步扩大范围至全量。
C#中Func和Action的区别？,Func是有返回值的泛型委托；Action是没有返回值的泛型委托。
什么是元组(Tuple)？C# 7.0中的ValueTuple有什么改进？,Tuple是不可变引用类型；ValueTuple是值类型，支持解构，性能更好，语法更简洁。
C#中Pattern Matching(模式匹配)是什么？,允许在控制流语句中检查数据及其结构（如switch表达式、is类型判断），简化复杂的条件判断。
什么是Nullable Types (可空类型)？,允许值类型赋值为null（如int?），底层是Nullable<T>结构体。
.NET中的GAC (Global Assembly Cache)是什么？,全局程序集缓存（主要在.NET Framework中），用于存储可供计算机上所有应用共享的程序集。
什么是JIT (Just-In-Time) 编译？,在程序运行时将IL代码编译为本地机器码，支持特定于CPU架构的优化。
什么是StackOverflowException？通常由什么引起？,栈溢出异常。通常由无限递归调用或分配过大的栈内存（如stackalloc）引起，无法被catch捕获。
C#中的checked和unchecked关键字作用？,控制整数运算溢出时是否抛出OverflowException。
什么是同步上下文(SynchronizationContext)？,用于在特定线程（如UI线程）中封送代码执行，async/await中用于在await后切回原线程。
什么是影子拷贝(Shadow Copying)？,在ASP.NET等环境中，将程序集复制到临时目录运行，以便在不停止服务的情况下更新原DLL文件。
如何理解“组合优于继承”？,继承耦合度高，父类变动影响子类；组合更灵活，通过组装对象实现功能，更易维护和扩展。
MidLevelSoftwareEngineer_QA_100,MidLevelSoftwareEngineer_QA_100
