在C#中，用于组织代码并防止命名冲突的容器是什么？,命名空间 (namespace)。
在C#中，类 (class) 的主要作用是什么？,类是创建对象的蓝图，用于将数据（字段）和行为（方法）封装在一起。
定义：`int` 数据类型,用于存储整数（不带小数点的数字）的32位有符号值类型。
用于存储文本的数据类型是 _____。,string
C#中使用哪两个值来表示布尔 (bool) 类型？,`true` 和 `false`。
在C#中，`=` 和 `==` 运算符有什么区别？,`=` 是赋值运算符，用于给变量赋值；`==` 是相等运算符，用于比较两个值是否相等。
C#中 `if-else` 语句的用途是什么？,根据条件的真假来执行不同的代码块。
当循环次数确定时，通常首选哪种循环结构？,`for` 循环。
在循环中，哪个关键字用于立即终止当前循环并继续下一次迭代？,`continue`
在循环中，哪个关键字用于完全终止整个循环？,`break`
用于遍历集合（如数组或列表）中每个元素的简化循环结构是什么？,`foreach` 循环。
在C#中，使用哪个关键字来从一个类创建实例（对象）？,`new`
封装 (Encapsulation) 的主要目的是什么？,将数据和操作数据的方法捆绑在一起，并对外部隐藏对象的内部状态，通过访问修饰符控制访问权限。
C#中用于限制类成员只能在同一类内部访问的访问修饰符是 _____。,`private`
C#中用于允许任何代码访问类成员的访问修饰符是 _____。,`public`
一个类从另一个类获取属性和方法的过程称为什么？,继承 (Inheritance)。
在C#的继承中，父类也被称为什么？,基类 (base class) 或超类 (superclass)。
在C#中，子类如何调用其直接基类中被重写的方法？,使用 `base` 关键字。
要允许一个方法在子类中被重写 (override)，该方法在基类中必须用哪个关键字标记？,`virtual`
定义：抽象类 (abstract class),一种不能被实例化的类，旨在作为其他类的基类，可以包含抽象成员和具体成员。
接口 (interface) 和抽象类 (abstract class) 的一个关键区别是什么？,一个类可以实现多个接口，但只能继承一个抽象类。
C# 中哪个关键字用于检查对象是否是特定类型或实现了特定接口？,`is` 关键字。
什么是垃圾回收机制 (GC)？,自动管理内存的过程，它会回收不再被引用的对象所占用的内存空间。
在C#中，变量分为哪两种主要类型？,值类型 (value types) 和引用类型 (reference types)。
值类型变量通常存储在内存的哪个区域？,栈 (Stack)。
引用类型变量存储在 _____ 上，而栈上只存储对该对象的引用（地址）。,堆 (Heap)
什么是字段 (field)？,在类中直接声明的变量，通常是 `private` 的，用于存储对象的内部状态。
属性 (property) 和字段 (field) 的主要区别是什么？,属性提供了一种灵活的机制来读取、写入或计算私有字段的值，可以包含逻辑（如验证），而字段只是存储位置。
一个属性中用于获取值的代码块叫什么？,`get` 访问器。
一个属性中用于设置值的代码块叫什么？在这个代码块中，赋来的值由哪个隐式参数表示？,`set` 访问器；`value` 关键字。
在类被实例化时自动调用的特殊方法是什么？,构造方法 (constructor)。
为了高效地进行大量字符串拼接操作，应该使用哪个类而不是 `string`？,`StringBuilder` 类。
定义：枚举 (enum),一种特殊的值类型，它允许为一组整数常量定义具名常量。
C#中最常用的泛型集合类，它代表一个强类型的对象列表，可以动态调整大小，这个类是 _____<T>。,`List`
要向 `List<T>` 的末尾添加一个元素，应调用哪个方法？,`Add()` 方法。
要从 `List<T>` 中移除指定索引处的元素，应调用哪个方法？,`RemoveAt()` 方法。
在C#中，表示键值对集合的泛型类是什么？,"`Dictionary<TKey, TValue>`。"
LINQ 代表什么？,语言集成查询 (Language Integrated Query)。
在LINQ查询语法中，哪个子句用于指定数据源和范围变量？,`from` 子句。
在LINQ查询语法中，`where` 子句的作用是什么？,根据指定的条件过滤序列中的元素。
在LINQ查询语法中，`select` 子句的作用是什么？,指定查询结果中每个元素的形式或类型。
什么是 lambda 表达式？,一种可用于创建匿名函数或表达式树的简洁语法，常与LINQ一起使用。
lambda 运算符是什么？,`=>`
用于处理程序运行时发生的错误或异常情况的C#结构是什么？,`try-catch` 块。
在 `try-catch` 结构中，无论是否发生异常都将执行的代码块是哪个？,`finally` 块。
当尝试访问一个值为 `null` 的引用类型的成员时，会抛出什么异常？,`NullReferenceException`。
什么是序列化 (Serialization)？,将对象的状态转换为可以存储或传输的格式（如字符串或字节流）的过程。
