Visual Studio的作用是什么？,Visual Studio是世界级的开发工具，用于编写、调试和发布程序，是上位机开发的主要利器。
.NET平台中CLR的作用是什么？,CLR（公共语言运行时）是托管代码的执行环境，负责内存管理、异常处理、垃圾回收等，确保程序安全运行。
Debug和Release模式有什么区别？,Debug模式包含调试信息，不做优化，用于开发调试；Release模式经过优化，文件更小运行更快，用于正式发布。
什么是托管代码？,托管代码是在CLR（公共语言运行时）管理下运行的代码，由CLR负责内存管理和安全检查。
C#程序编译过程是怎样的？,C#代码首先被编译成IL（中间语言），运行时再由JIT（即时编译器）编译成机器码执行。
解决方案（Solution）和项目（Project）的关系是什么？,解决方案是广义的项目容器，可以包含一个或多个相互关联的项目（如UI层、业务层、数据层）。
C#中命名空间（namespace）的作用是什么？,命名空间用于对类进行逻辑分组和管理，避免类名冲突，类似于行政区域划分。
using关键字的作用是什么？,using用于引入命名空间，以便在代码中直接使用该命名空间下的类，而无需写全限定名。
C#中Main方法的作用是什么？,Main方法是C#控制台程序的入口点，程序启动时从Main方法开始执行。
C#中值类型和引用类型有什么区别？,值类型直接存储数据，存储在栈中；引用类型存储数据的地址，数据存储在堆中。
常见的C#值类型有哪些？,int, double, float, bool, char, struct, enum等。
常见的C#引用类型有哪些？,class, interface, array, delegate, string等。
string类型是值类型还是引用类型？,string是引用类型，但其表现具有不可变性，操作效果类似值类型。
什么是变量？,变量是内存中存储数据的空间的别名，用于在程序运行期间存储和操作数据。
Pascal命名法和Camel命名法有什么区别？,Pascal命名法首字母大写（如Person），用于类、方法、属性；Camel命名法首字母小写（如studentName），用于变量、字段。
Console.ReadLine()方法的作用是什么？,从控制台读取用户输入的一行文本，返回字符串类型。
字符串格式化中占位符{0}是什么意思？,{0}表示第一个参数的占位符，在字符串拼接或格式化输出时会被后续对应的变量值替换。
C#中“=”和“==”的区别是什么？,“=”是赋值运算符，“==”是比较运算符，用于判断两个值是否相等。
逻辑运算符&&和||的区别？,&&是逻辑与，所有条件都满足才为真；||是逻辑或，只要有一个条件满足就为真。
switch结构适用于什么场景？,switch适用于对某个变量进行等值判断的多分支选择场景，代码结构比多重if更清晰。
for循环和while循环的选择依据是什么？,循环次数确定时通常用for循环；循环次数不确定，只知道循环条件时通常用while循环。
break和continue关键字在循环中的区别？,break用于立即终止整个循环；continue用于跳过本次循环剩余代码，进入下一次循环。
string.Format的作用是什么？,用于将多个数据按照指定格式拼接成一个字符串，比使用+号拼接更灵活且易读。
StringBuilder类的主要优势是什么？,StringBuilder用于高效处理字符串拼接，特别是在大量拼接操作时，能减少内存开销，避免产生大量临时字符串对象。
字符串Split方法的作用是什么？,根据指定的分隔符将字符串拆分成字符串数组。
字符串Trim方法的作用是什么？,去除字符串首尾的空白字符。
什么是数组（Array）？,数组是存储相同数据类型的一组数据的集合，在内存中连续存储，长度固定。
数组索引从几开始？,数组索引从0开始。
foreach循环的特点是什么？,foreach用于遍历数组或集合，语法简洁，不需要关心索引，但遍历过程中不能修改集合元素。
List<T>泛型集合相比数组有什么好处？,List<T>长度不固定，可以动态添加或删除元素，且类型安全，无需频繁拆装箱。
Dictionary<TKey, TValue>是什么集合？,字典集合，基于键值对（Key-Value）存储数据，通过Key可以快速查找Value。
泛型集合中<T>的含义是什么？,<T>表示泛型占位符，使用时需要指定具体的数据类型，如List<int>表示存储整数的列表。
什么是类（Class）？,类是对象的模板或蓝图，定义了事物的属性（数据）和方法（行为）。
什么是对象（Object）？,对象是类的实例，是内存中实际存在的实体。
访问修饰符public和private的区别？,public表示公开的，任何地方都能访问；private表示私有的，只能在类内部访问。
什么是字段（Field）？,字段是类内部定义的变量，用于存储对象的内部数据，通常修饰为private。
