什么是上位机开发？,指在PC端（通常是Windows）开发用于监控、控制下位机（PLC、单片机、仪表）的软件系统。
C# 中值类型和引用类型的区别是什么？,值类型存储在栈中（存具体值），引用类型存储在堆中（存地址引用）。
什么是装箱和拆箱？,装箱是将值类型转换为引用类型（Object），拆箱是将引用类型转换为值类型，会影响性能。
struct 和 class 的主要区别是什么？,struct 是值类型，不支持继承（但可实现接口）；class 是引用类型，支持继承和多态。
简述 C# 中的访问修饰符 public, private, protected, internal。,public: 公开；private: 类内部私有；protected: 类及子类可见；internal: 同一程序集可见。
static 关键字的作用是什么？,用于声明静态成员或类，静态成员属于类本身而不是实例，在内存中只存在一份。
什么是接口（Interface）？,接口定义了行为的契约，只包含方法/属性声明，不包含实现，类实现接口必须实现其所有成员。
抽象类（Abstract Class）和接口的区别？,抽象类可以有部分实现和成员变量，用于"Is-a"关系；接口全是声明，用于"Can-do"行为能力。
什么是委托（Delegate）？,委托是类型安全的函数指针，用于将方法作为参数传递。
event 关键字的作用是什么？,event 是基于委托的封装，限制了外部只能通过 += 或 -= 操作，防止外部直接调用或赋值。
简述 GC（垃圾回收）机制。,CLR 自动管理内存，定期检查堆上的对象，释放不再被引用的对象内存。
using 语句块的作用是什么？,用于定义 IDisposable 对象的范围，确保在代码块结束时自动调用 Dispose() 释放非托管资源。
string 和 StringBuilder 的区别？,string 是不可变的，每次修改都会产生新对象；StringBuilder 是可变的，适合大量字符串拼接。
ref 和 out 参数的区别？,ref 传递前必须初始化，out 传递前无需初始化但在方法结束前必须赋值。
什么是反射（Reflection）？,在运行时动态获取类型信息（如类、方法、属性）并动态调用或创建实例的技术。
什么是泛型（Generics）？,允许定义类或方法时不指定具体数据类型，直到使用时才指定，提高了代码复用性和性能。
List<T> 和 ArrayList 的区别？,List<T> 是泛型，类型安全且无装箱拆箱；ArrayList 存 Object，类型不安全且性能较差。
上位机开发中常用的 UI 框架有哪些？,WinForms（经典、简单）、WPF（现代、灵活、基于DirectX）、UWP/MAUI（跨平台，工业用得少）。
WinForms 中 Form 的生命周期事件顺序？,Constructor -> Load -> Shown -> Activated -> Closing -> Closed。
什么是模态窗口（ShowDialog）和非模态窗口（Show）？,模态窗口会阻塞父窗口交互，直到关闭；非模态窗口不会阻塞。
WinForms 中如何防止界面卡死？,不要在 UI 线程（主线程）执行耗时操作，应使用多线程或异步编程。
什么是跨线程访问 UI 控件异常？,WinForms/WPF 禁止非创建线程直接操作 UI 控件，必须通过 Invoke/BeginInvoke 或 Dispatcher。
WPF 的核心特点是什么？,基于 XAML 布局、强大的数据绑定（DataBinding）、样式与逻辑分离（MVVM）、矢量绘图。
简述 MVVM 模式。,Model（数据模型）、View（界面）、ViewModel（业务逻辑），View 与 ViewModel 通过数据绑定交互。
WPF 中 INotifyPropertyChanged 接口的作用？,用于通知 View 绑定的数据源属性发生了变化，从而自动更新界面。
WPF 中 ICommand 接口的作用？,用于将 UI 事件（如按钮点击）与 ViewModel 中的逻辑解耦，替代传统的事件处理程序。
什么是依赖属性（Dependency Property）？,WPF 特有的属性系统，支持样式、绑定、动画和默认值继承，节省内存。
串口通信（SerialPort）中 BaudRate 代表什么？,波特率，表示每秒传输的符号数（位），发送端和接收端必须一致。
串口通信中 Parity（校验位）有哪些类型？,None（无）、Odd（奇）、Even（偶）、Mark（1）、Space（0）。
RS232 和 RS485 的主要区别？,RS232 是全双工、点对点、传输距离短；RS485 是半双工、支持多点轮询、抗干扰强、距离远。
如何在 C# 中获取本机所有可用串口？,使用 System.IO.Ports.SerialPort.GetPortNames() 方法。
什么是 Socket 编程？,基于 TCP/IP 协议的网络通信，分为 Server（监听）和 Client（连接）。
TCP 和 UDP 的区别？,TCP 是面向连接、可靠传输（三次握手）；UDP 是无连接、不可靠但在实时性要求高时速度快。
什么是 Modbus 协议？,工业自动化通用的通信协议，定义了主从问答式的报文结构。
Modbus RTU 和 Modbus TCP 的区别？,RTU 运行在串口上，使用二进制紧凑编码，有 CRC 校验；TCP 运行在以太网上，去掉了 CRC，增加了 MBAP 头。
Modbus 中的 4 个主要数据区是什么？,0x线圈（DO读写）、1x离散输入（DI只读）、3x输入寄存器（AI只读）、4x保持寄存器（AO/参数读写）。
Modbus 报文中的功能码 03 代表什么？,读取保持寄存器（Read Holding Registers）。
Modbus 报文中的功能码 06 和 10(十六进制) 代表什么？,06 写单个寄存器，10 (十进制16) 写多个寄存器。
什么是字节序（Endianness）？,多字节数据在内存中的存储顺序，大端模式（Big-Endian）高位在前，小端模式（Little-Endian）低位在前，通信时需统一。
CRC 校验的作用是什么？,循环冗余校验，用于检测数据传输过程中是否发生位错误。
上位机如何解析 PLC 发来的浮点数（Float）？,通常将两个 16 位寄存器（4字节）合并，通过 BitConverter.ToSingle 转换，注意高低字顺序。
什么是 OPC DA 和 OPC UA？,OPC 是工业互联标准。DA 基于 Windows COM/DCOM，较老且配置麻烦；UA 基于 TCP/Https，跨平台、安全、现代。
Thread 和 Task 的区别？,Thread 是底层线程对象，开销大；Task 是基于线程池的高级抽象，支持返回值、取消、等待，更轻量。
async 和 await 关键字的作用？,用于简化异步编程，使异步代码写起来像同步代码，且不会阻塞 UI 线程。
Task.Run() 的作用？,将 CPU 密集型任务放到线程池中运行，避免阻塞主线程。
什么是线程安全？,指多线程访问同一资源时，采用加锁等机制保证数据一致性，防止竞态条件。
lock 关键字的作用？,用于互斥锁，确保同一时间只有一个线程能执行被锁定的代码块。
Monitor.Enter 和 Monitor.Exit 与 lock 的关系？,lock 是 Monitor 的语法糖，底层就是通过 Monitor 实现的，且自动包含 try...finally 释放锁。
